PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
two hundred	2	1	2198302 all
ultra vires	2	1	1348083 all
under wraps	2	1	1708049 all
undreamt of	2	1	646276 all
beyond doubt	2	1	1918541 all
bluish black	2	1	388152 all
bluish green	2	1	371163 all
closely knit	2	1	452407 all
dependant on	2	1	555859 all
dependent on	2	1	555859 all
depending on	2	1	555859 all
east african	2	1	2941957 pert
five hundred	2	1	2198631 all
four hundred	2	1	2198520 all
free burning	2	1	596358 all
in agreement	2	1	2476338 all
in condition	2	1	1017600 all
in operation	2	1	833018 all
incumbent on	2	1	848983 all
loosely knit	2	1	451032 all
magenta pink	2	1	377616 all
many another	2	1	1552255 all
marched upon	2	1	3150569 ppl
mentally ill	2	1	2076817 all
mounded over	2	1	3150897 ppl
north korean	2	1	2967990 pert
one thousand	2	1	2198752 all
parceled out	2	1	540236 all
san marinese	2	1	3113562 pert
sought after	2	1	733297 all
sound asleep	2	1	188738 all
south korean	2	1	2968166 pert
sticking out	2	1	1353982 all
stocked with	2	1	1097690 all
street smart	2	1	439431 all
table d'hote	2	1	2453035 all
turned on	2	1	2131668 all
worked up	2	1	85630 all
a cappella	2	1	2252352 all
ad hominem	2	1	1767826 all
au courant	2	1	1306645 all
au naturel	2	1	457998 all
baking hot	2	1	1247975 all
better off	2	1	1048202 all
bowed down	2	1	869690 all
brain dead	2	1	96414 all
cold sober	2	1	799716 all
de rigueur	2	1	848679 all
dirt cheap	2	1	934874 all
divided up	2	1	541189 all
every last	2	1	2270057 all
ex officio	2	1	1632988 all
future day	2	1	1732855 all
half dozen	2	1	2186833 all
in advance	2	1	198383 all
in writing	2	1	2285278 all
moss green	2	1	378166 all
not guilty	2	1	1320474 all
paper thin	2	1	2414500 all
patient of	2	1	1736883 all
pearl gray	2	1	390844 all
pearl grey	2	1	390844 all
per capita	2	1	482452 all
pissed off	2	1	1806106 all
raving mad	2	1	2077625 all
red carpet	2	1	488697 all
related to	2	1	1972820 all
shared out	2	1	541189 all
slicked up	2	1	2423865 all
some other	2	1	2070188 all
spiffed up	2	1	455824 all
spruced up	2	1	455824 all
sri lankan	2	1	3118413 pert
stirred up	2	1	920494 all
stopped up	2	1	1621894 all
stuck with	2	1	670418 all
sub judice	2	1	1401734 all
taken with	2	1	1465668 all
turned out	2	1	457036 all
under fire	2	1	2524900 all
unequal to	2	1	52246 all
well timed	2	1	1661529 all
with child	2	1	173391 all
wrapped up	2	1	518405 all
writ large	2	1	1619880 all
.22 caliber	2	1	3146310 pert
.22 calibre	2	1	3146310 pert
.38 caliber	2	1	3146602 pert
.38 calibre	2	1	3146602 pert
.45 caliber	2	1	3146895 pert
.45 calibre	2	1	3146895 pert
adequate to	2	1	51373 all
agreed upon	2	1	603194 all
at variance	2	1	554098 all
blind drunk	2	1	798103 all
blotted out	2	1	735088 all
bright blue	2	1	370267 all
de facto	2	1	693743 all
dead set	2	1	1990172 all
down pat	2	1	1750617 all
en garde	2	1	1630939 all
equal to	2	1	51373 all
far left	2	1	2031165 all
for sale	2	1	185607 all
for sure	2	1	1918660 all
hard put	2	1	2457558 all
hardly a	2	1	1553494 all
in force	2	1	832784 all
in order	2	1	1931517 all
in sight	2	1	2515993 all
in stock	2	1	184543 all
in store	2	1	1733189 all
in style	2	1	971506 all
in vitro	2	1	1359277 all
in vogue	2	1	971506 all
laid low	2	1	2545385 all
mine run	2	1	1674926 all
on guard	2	1	162661 all
on trial	2	1	1894576 all
pro bono	2	1	1710709 all
proud of	2	1	1892506 all
taken up	2	1	544478 all
tired of	2	1	1806677 all
worn out	2	1	2433451 all
wound up	2	1	2405677 all
all right	2	1	2081114 all
au gratin	2	1	616408 all
broken in	2	1	2388441 all
bucked up	2	1	1805489 all
caught up	2	1	1515525 all
close set	2	1	448924 all
closed in	2	1	1657760 all
cram full	2	1	1084297 all
cum laude	2	1	2586089 all
dealt out	2	1	540236 all
doled out	2	1	540236 all
dolled up	2	1	455824 all
done with	2	1	1003822 all
ex gratia	2	1	847715 all
heated up	2	1	1249309 all
in demand	2	1	733297 all
in effect	2	1	832784 all
in height	2	1	2385726 all
in league	2	1	2477691 all
in series	2	1	2380358 all
infra dig	2	1	752714 all
left over	2	1	926505 all
meted out	2	1	540236 all
more than	2	1	1555133 all
of import	2	1	1275562 all
off guard	2	1	1932633 all
pale blue	2	1	377131 all
perked up	2	1	119993 all
prix fixe	2	1	2453035 all
pro forma	2	1	1043619 all
pumped up	2	1	2407346 all
tended to	2	1	308488 all
togged up	2	1	455824 all
too large	2	1	1390130 all
a few	2	1	1553340 all
up on	2	1	1306645 all
all in	2	1	2432154 all
at bay	2	1	1064913 all
at sea	2	1	1766133 all
au jus	2	1	1368948 all
cut up	2	1	661819 all
fed up	2	1	1806677 all
hip to	2	1	1307571 all
in for	2	1	341292 all
many a	2	1	1552255 all
of age	2	1	1644541 all
out to	2	1	1990172 all
put on	2	1	1116857 all
at odds	2	1	578234 all
at work	2	1	293248 all
au fait	2	1	1306645 all
bent on	2	1	1990172 all
cut off	2	1	662318 all
cut out	2	1	663468 all
de jure	2	1	693961 all
de luxe	2	1	850053 all
ex vivo	2	1	1359277 all
gung ho	2	1	886895 all
hard up	2	1	2023661 all
in gear	2	1	1101022 all
in love	2	1	1465668 all
in play	2	1	99590 all
in vivo	2	1	1359424 all
kept up	2	1	737515 all
laid up	2	1	2545484 all
many an	2	1	1552255 all
not bad	2	1	1123879 all
on fire	2	1	475308 all
on hand	2	1	185020 all
pro tem	2	1	1757608 all
shut up	2	1	558951 all
sick of	2	1	1806677 all
soft on	2	1	1465668 all
tied up	2	1	293882 all
too bad	2	1	1052038 all
true to	2	1	960856 all
used to	2	1	24619 all
wise to	2	1	1307690 all
wont to	2	1	24619 all
air sick	2	1	2542675 all
al dente	2	1	1151335 all
all over	2	1	1003277 all
at fault	2	1	1321429 all
at large	2	1	1062114 all
at peace	2	1	95873 all
bone dry	2	1	2552646 all
boxed in	2	1	1657233 all
con brio	2	1	2279523 all
heavy	1	27	502487 all 1183114 all 1457692 all 1278423 all 693020 all 462409 all 837415 all 836544 all 807667 all 2402439 all 1085268 all 1192786 all 1299173 all 2514239 all 1193373 all 1191618 all 1191227 all 1190683 all 1188491 all 987769 all 1145639 all 173391 all 1188762 all 1184932 all 2411559 all 2416390 all 2411447 all
light	1	25	712186 all 361837 all 2401863 all 1906464 all 1193046 all 1191876 all 1190993 all 1190316 all 1186408 all 1182414 all 408660 all 269989 all 693570 all 2544525 all 2165318 all 2320442 all 2121572 all 2121424 all 2337329 all 1192393 all 993117 all 1191448 all 1188186 all 2414188 all 503527 all
open	1	21	1659999 all 2523664 all 2003357 all 1659117 all 1654377 all 1652902 all 1652380 all 2474876 all 1861910 all 1886620 all 2087178 all 1985247 all 2232112 all 2361540 all 1310273 all 36254 all 185509 all 1449354 all 1622505 all 1704761 all 2130821 all
hot	1	21	2397732 all 1641791 all 1403632 all 1468420 all 2527402 all 2511800 all 1068438 all 1804034 all 811421 all 33077 all 445440 all 358392 all 2532114 all 2132607 all 1816525 all 2227485 all 977372 all 1124441 all 1247240 all 1256332 all 427105 all
good	1	21	452883 all 1123148 all 64787 all 2273643 all 775611 all 832784 all 1586752 all 1068306 all 1048762 all 2036934 all 1129977 all 1116026 all 1661289 all 1171213 all 1166413 all 2226162 all 1333477 all 1983162 all 1808329 all 523364 all 106020 all
soft	1	19	2286083 all 1156925 all 1152746 all 284400 all 750054 all 2448324 all 1156112 all 1458303 all 1914767 all 2487540 all 1019713 all 1192035 all 1459295 all 1157887 all 1509066 all 760473 all 438332 all 1763159 all 1454636 all
clean	1	18	417413 all 47653 all 143294 all 1914108 all 1404898 all 1087093 all 1906464 all 1906320 all 1749915 all 2116473 all 1548808 all 749947 all 522101 all 61664 all 427331 all 956733 all 424008 all 426347 all
dead	1	17	95280 all 99874 all 668919 all 929443 all 2107386 all 2105603 all 2432154 all 2011445 all 522349 all 41202 all 36879 all 845737 all 1838151 all 1872265 all 359260 all 833878 all 1241248 all
clear	1	17	780011 all 1914108 all 1906464 all 1405047 all 1062938 all 2459667 all 1582598 all 1750073 all 435190 all 697923 all 771616 all 1622505 all 1320184 all 869253 all 428404 all 460735 all 431447 all
dry	1	16	799953 all 2260730 all 2555267 all 2554546 all 2551380 all 1792973 all 1867052 all 2554940 all 2307729 all 2367785 all 857387 all 1178669 all 1158837 all 2474076 all 1266092 all 1793106 all
straight	1	15	2310895 all 2318464 all 22962 all 2423981 all 911204 all 1201298 all 1237754 all 757120 all 632306 all 607857 all 596511 all 766102 all 1030826 all 2318272 all 2314584 all
solid	1	15	784215 all 2558528 all 1125006 all 2120276 all 1200491 all 1200339 all 1993693 all 1151740 all 434597 all 658166 all 291181 all 2275412 all 2273952 all 2263680 all 2260035 all
flat	1	15	2413037 all 1913931 all 2307563 all 910101 all 1021794 all 659259 all 1239040 all 1233020 all 283972 all 660551 all 38119 all 2277078 all 1578152 all 1541828 all 2399595 all
deep	1	15	2410983 all 2561391 all 692762 all 403385 all 445937 all 690058 all 1385046 all 1873163 all 1215935 all 1206916 all 1513776 all 1511292 all 939444 all 899226 all 149120 all
close	1	15	501004 all 444519 all 2232739 all 1113225 all 2509484 all 451510 all 446921 all 890622 all 1436567 all 2000298 all 1859368 all 309945 all 558738 all 22219 all 1447937 all
active	1	14	1660444 all 40325 all 41361 all 37457 all 1515280 all 41618 all 43411 all 34710 all 42037 all 38750 all 927373 all 35465 all 31974 all 42457 all
tight	1	14	711059 all 2232739 all 1113807 all 2095670 all 890622 all 747727 all 17186 all 2403505 all 1398199 all 1447302 all 2526441 all 1655538 all 798103 all 503157 all
bad	1	14	2274537 all 478311 all 1510444 all 1117226 all 1069283 all 1131803 all 1174222 all 2500050 all 2345713 all 1160775 all 1150475 all 1092572 all 1125429 all 2298642 all
rough	1	14	299476 all 304949 all 84353 all 1813183 all 2229584 all 915976 all 1951197 all 1803583 all 747910 all 664167 all 2245403 all 2243567 all 1374183 all 2238462 all
black	1	14	1227546 all 421002 all 1229561 all 241952 all 274068 all 756897 all 114797 all 1050088 all 1402580 all 1131935 all 1706341 all 392812 all 2079507 all 396296 all
right	1	14	135455 all 1693585 all 2031986 all 2030080 all 2029047 all 1661289 all 1879464 all 1879261 all 2034828 all 2082081 all 633410 all 631391 all 1720930 all 23278 all
regular	1	13	638501 all 2366927 all 1970777 all 2372520 all 2296632 all 1595312 all 1961937 all 2302187 all 2469577 all 1067003 all 1089275 all 489863 all 1959294 all
broken	1	13	2388441 all 2239746 all 289594 all 289082 all 680156 all 1669246 all 1752692 all 1274626 all 1893303 all 735195 all 524388 all 540366 all 289983 all
loose	1	13	638841 all 2232112 all 916199 all 1062114 all 1634027 all 1998835 all 361837 all 2404421 all 600725 all 503321 all 159381 all 1446749 all 1739582 all
raw	1	13	417204 all 1954943 all 1952643 all 1252399 all 1712753 all 1705195 all 1005914 all 1319061 all 1813081 all 619433 all 958020 all 458266 all 937186 all
cold	1	13	572060 all 1466775 all 1069454 all 1750256 all 1689580 all 887317 all 1510914 all 1263971 all 1257612 all 96815 all 442827 all 2532398 all 1251128 all
big	1	13	579622 all 1382086 all 173391 all 1276872 all 1890752 all 1191780 all 1488616 all 1114658 all 1111418 all 1453084 all 1510444 all 1890187 all 2402439 all
wild	1	13	2353211 all 886448 all 1514141 all 1243102 all 2059811 all 2077625 all 1942732 all 304144 all 601650 all 1727303 all 2390335 all 412788 all 2389220 all
white	1	12	243180 all 393105 all 1327680 all 1130932 all 1250991 all 1087093 all 1905235 all 1698231 all 756638 all 272950 all 404568 all 406743 all
sharp	1	12	780352 all 1144230 all 1214430 all 1744515 all 1145151 all 1804728 all 1577973 all 1810189 all 438909 all 842810 all 800826 all 803038 all
fresh	1	12	1641648 all 1073707 all 1071198 all 1906320 all 2370083 all 1687167 all 2434797 all 1357027 all 1067694 all 418198 all 2554420 all 205295 all
