PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
get it on	3	1	1426397 contact
go to bed	3	1	17865 body
go to pot	3	1	208691 change
go to war	3	1	1093465 competition
ham it up	3	1	1751173 creation
have a go	3	1	2530770 social
hit it up	3	1	1190277 consumption
let go of	3	1	1474550 contact
let it go	3	1	2371239 social
see to it	3	1	662589 cognition
ask for it	3	1	351048 change
be with it	3	1	596484 cognition
cash in on	3	1	2279513 possession
come up to	3	1	990655 communication
do well by	3	1	2516107 social
get a line	3	1	598954 cognition
get a load	3	1	2131777 perception
get a look	3	1	2129879 perception
go all out	3	1	2563120 social
go back on	3	1	800242 communication
go down on	3	1	2117170 perception
have a fit	3	1	1795428 emotion
live it up	3	1	1191512 consumption
live up to	3	1	2671880 stative
look up to	3	1	1827858 emotion
make as if	3	1	107468 body
run a risk	3	1	2544348 social
step on it	3	1	2058994 motion
take a hit	3	1	1199755 consumption
take a hop	3	1	1892104 motion
take to be	3	1	689950 cognition
be at pains	3	1	2531088 social
blow a fuse	3	1	1795428 emotion
burst in on	3	1	780444 communication
care a hang	3	1	1823149 emotion
check up on	3	1	661824 cognition
come in for	3	1	2729260 stative
come of age	3	1	2540445 social
cry out for	3	1	2629111 stative
drag a bunt	3	1	1408297 contact
draw a line	3	1	234536 change
drop a line	3	1	1007027 communication
get a whiff	3	1	2126269 perception
get on with	3	1	2458566 social
give a damn	3	1	1823149 emotion
give a hang	3	1	1823149 emotion
give a hoot	3	1	1823149 emotion
go to sleep	3	1	17865 body
have a ball	3	1	1191232 consumption
have a look	3	1	2131777 perception
have it off	3	1	1426397 contact
hem and haw	3	1	1061881 communication
hit the hay	3	1	17865 body
lay eyes on	3	1	2130160 perception
lay to rest	3	1	2456493 social
lie in wait	3	1	1138204 competition
look out on	3	1	2721966 stative
make a face	3	1	34288 body
pull a face	3	1	34288 body
put on airs	3	1	2593551 social
break up	2	19	330565 change 2431320 social 209174 change 30366 body 1442578 contact 2029663 motion 778275 communication 1657977 creation 1610463 contact 1215017 contact 2030424 motion 447309 change 338071 change 1785579 emotion 364297 change 355955 change 1562061 contact 1560984 contact 355803 change
